name,ra,dec,Class,significance,F_s,F_m,F_h,F_b,P_intra,P_inter,name_cat,ra_cat,dec_cat,SubClass,ref,MW_MW,p_any,p_i,G,BP,RP,RPlx,PM,epsi,sepsi,ruwe,rgeo,J,H,K,W1,W2,W3
2CXO J143244.4-005914,218.1851777,-0.9874693,AGN,35.545782178314184,2.1391188808409849e-13,1.3012632946546256e-13,3.6522443720028e-13,7.09262654749841e-13,0.1001681448515899,,Q 1430-0046,218.185,-0.9875,Q;*|AGN|MIR|NIR|Opt|QSO|Rad|UV|X,2010A&A...518A..10V,gcat,0.9989241,1.0,17.551451,17.73451,17.231194,-0.6876,6.2e-05,0.000199,0.6367,1.052,,16.198,15.873,15.316,14.183,13.062,10.552
2CXO J143331.3+341747,218.3807715,34.2965471,LM-STAR,4.727272727273084,2.0380265961930592e-14,2.701612263203285e-15,6.991720756419366e-15,3.0073598981553245e-14,0.976154392388641,0.962,G15369611541072,218.3807628,34.2964553,dM7;dM7;*|NIR|PM*|X,LAMOST-DR8-M,gcat,0.9968518,1.0,15.153867,17.508186,13.754385,555.5603,0.097411,0.000251,18.0,1.084,48.0696297,11.451,10.849,10.554,10.349,10.091,9.878
2CXO J143429.7+351731,218.6240427,35.2920653,LM-STAR,5.028571428571402,6.500197006518598e-15,1.5596628627484402e-15,4.000545203961681e-15,1.206040507322872e-14,0.76293764890015,0.683,G15377692490890,218.624096,35.292015,K5;K5;K5;*|NIR|X,LAMOST-DR8-AFGK,gcat,0.99889135,1.0,11.935512,12.614795,11.140633,675.7441,0.010481,0.000116,26.42,1.428,92.5305634,10.17,9.587,9.42,9.403,9.456,9.332
2CXO J143447.7+353409,218.6991292,35.56925,LM-STAR,6.573094465923433,4.1854490475053204e-14,5.764407027111491e-15,5.051675334848949e-15,5.2670572837013633e-14,0.86931443319642,0.603,G15377810235896,218.699188,35.569292,G8;G7;*|NIR|PM*|X,LAMOST-DR8-AFGK,gcat,0.9995624,1.0,10.25958,10.687484,9.664342,930.2372,0.063164,9.3e-05,16.19,1.018,79.3378601,9.011,8.55,8.498,8.462,8.506,8.428
2CXO J143525.2+400112,218.8553584,40.0201305,AGN,2.7222222222222205,6.447904162503141e-15,1.6088781810536921e-15,5.432726715738401e-15,1.3489509059295231e-14,0.88816822058528,,SDSS J14354+4001,218.855417,40.02,Q;*|Opt|QSO,2010A&A...518A..10V,gca,0.9994634,1.0,18.258009,18.478691,17.856125,0.3231,7.7e-05,0.0,0.0,1.007,,,,,15.541,14.611,11.191
2CXO J143529.1+340440,218.8712895,34.0780217,LM-STAR,2.611111111111124,9.488340654013333e-16,5.98309618140263e-16,1.3174907122366014e-15,2.864634395778198e-15,0.44340589431549,0.921,G15377253102991,218.8711917,34.0780028,F0;F0;F0;*|NIR|X,LAMOST-DR8-AFGK,gcat,0.99900776,1.0,13.188241,13.399171,12.811964,18.9289,0.0106,0.000544,380.9,4.607,960.126038,12.409,12.196,12.142,12.099,12.122,11.976
2CXO J143530.9+354401,218.8790748,35.7337869,LM-STAR,2.756756756756761,8.875164092856684e-15,4.253425475803221e-15,7.978845608028655e-18,1.3136568414267934e-14,0.972070000772132,,G15377775676245,218.879047,35.733922,dM0;*|NIR|X,LAMOST-DR8-M,gcat,0.99912894,1.0,14.231937,15.092555,13.315551,229.2808,0.033648,0.0,0.0,1.03,268.995575,12.127,11.464,11.308,11.267,11.264,11.097
2CXO J143543.7+342906,218.9321865,34.4850884,AGN,3.647058823529071,4.3675134461378e-15,1.009693147889324e-14,1.7707251732409354e-14,3.217169665744039e-14,0.48480725473983,,SDSS J14357+3429,218.932083,34.485,Q;*|Opt|QSO|X,2010A&A...518A..10V,gca,0.99863815,1.0,18.430906,18.648476,18.067238,0.1516,0.000125,0.0,0.0,1.01,,,,,15.005,14.329,11.095
2CXO J143559.1+334640,218.9966102,33.7779663,AGN,7.126314156486395,3.1363169157967777e-14,2.645871614885127e-14,4.326333077629769e-14,1.0108521608311675e-13,0.61377407867826,1.0,SDSS J14359+3346,218.996667,33.777778,Q;*|Opt|QSO|UV|X,2010A&A...518A..10V,gca,0.99740726,1.0,18.78878,18.898317,18.57736,-0.6136,0.000164,0.0,0.0,0.985,,,,,15.284,14.313,11.501
2CXO J143617.8+353725,219.0742235,35.6238883,AGN,6.4886425862715065,4.211126359715693e-15,1.1021817619785136e-14,3.4042565707028184e-14,4.9275509686529017e-14,0.61228404662622,0.967,SDSS J14362+3537,219.074583,35.623611,Q;*|AGN|G|Opt|QSO|UV|X,2010A&A...518A..10V,gca,0.99615234,1.0,18.872038,19.158386,18.500708,-0.0683,0.000242,0.0,0.0,0.946,,,,,15.7,14.761,11.729
